k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,"sBY,sSL",xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,w
84,0.0,0.0,1.7659574468085106,1.6600000000000001,0.5319148936170213,0.5,9.148936170212766,8.6,-59999988.55319149,0.0,0.0,0.0,60000000.0,1890.3913961639628,1864.5600000000002,0.0,0.0,13.3,-0.5,10.76,0.0
85,0.0,0.0,1.627659574468085,1.53,0.5319148936170213,0.5,9.042553191489361,8.5,-59999988.79787237,0.0,0.0,0.0,60000000.0,1890.3724922500744,1864.5600000000002,0.0,0.0,14.2,-0.7,10.76,0.0
86,0.0,0.0,1.5425531914893615,1.45,0.5319148936170213,0.5,11.063829787234043,10.4,-59999986.86170212,0.0,0.0,0.0,60000000.0,1890.3535885252059,1864.5600000000002,0.0,0.0,15.3,-0.9,10.76,0.0
87,0.0,0.0,1.5319148936170213,1.44,0.5319148936170213,0.5,11.27659574468085,10.6,-59999986.6595745,0.0,0.0,0.0,60000000.0,1890.3346849892669,1864.5600000000002,0.0,0.0,15.3,-0.9,10.76,0.0
88,0.0,0.0,1.5425531914893615,1.45,0.5319148936170213,0.5,12.446808510638295,11.7,-59999985.47872341,0.0,0.0,0.0,60000000.0,1890.31578164245,1864.5600000000002,0.0,0.0,15.3,-1.2,10.76,0.0
89,0.0,0.0,1.5106382978723403,1.42,0.5319148936170213,0.5,13.297872340425533,12.5,-59999984.65957451,0.0,0.0,0.0,60000000.0,1890.2968784846007,1864.5600000000002,0.0,0.0,17.4,-1.4,10.76,0.0
90,0.0,0.0,1.553191489361702,1.46,0.5319148936170213,0.5,14.574468085106382,13.7,-59999983.34042553,0.0,0.0,0.0,60000000.0,1890.2779755159281,1864.5600000000002,0.0,0.0,17.4,-1.6,11.0,0.0
91,0.0,0.0,1.0212765957446808,0.96,0.5319148936170213,0.5,9.255319148936168,8.7,-59999989.1914894,0.0,0.0,0.0,60000000.0,1890.259072736061,1864.5600000000002,0.0,0.0,12.8,-1.8,11.0,0.0
92,0.0,0.0,1.0212765957446808,0.96,0.5319148936170213,0.5,11.063829787234043,10.4,-59999987.38297872,0.0,0.0,0.0,60000000.0,1890.2401701454073,1864.5600000000002,0.0,0.0,14.3,-1.7,11.0,0.0
93,0.0,0.0,1.0212765957446808,0.96,0.5319148936170213,0.5,11.170212765957446,10.5,-59999987.276595786,0.0,0.0,0.0,60000000.0,1890.2212677436323,1864.5600000000002,0.0,0.0,14.3,-1.6,11.0,0.0
94,0.0,0.0,1.0319148936170213,0.97,0.5319148936170213,0.5,11.382978723404253,10.7,-59999987.05319149,0.0,0.0,0.0,60000000.0,1890.2023655308876,1864.5600000000002,0.0,0.0,14.2,-1.4,11.0,0.0
95,0.0,0.0,1.0425531914893618,0.9800000000000001,0.5319148936170213,0.5,11.27659574468085,10.6,-59999987.14893621,0.0,0.0,0.0,60000000.0,1890.1834635072998,1864.5600000000002,0.0,0.0,14.3,-1.3,11.0,0.0
96,0.0,0.0,1.0638297872340425,1.0,0.5319148936170213,0.5,12.021276595744682,11.3,-59999986.38297872,0.0,0.0,0.0,60000000.0,1890.1645616726018,1864.5600000000002,0.0,0.0,15.399999999999999,-1.3,11.0,0.0
97,0.0,0.0,1.2127659574468086,1.1400000000000001,0.6382978723404256,0.6,13.510638297872338,12.7,-59999984.638297886,0.0,0.0,0.0,60000000.0,1890.1456600270483,1864.5600000000002,0.0,0.0,17.4,-1.2,11.0,0.0
98,0.0,0.0,1.1170212765957448,1.05,0.6382978723404256,0.6,12.021276595744682,11.3,-59999986.22340426,0.0,0.0,0.0,60000000.0,1890.12675857055,1864.5600000000002,0.0,0.0,15.3,-1.1,11.0,0.0
99,0.0,0.0,1.6595744680851066,1.56,0.6382978723404256,0.6,11.914893617021276,11.2,-59999985.787234075,0.0,0.0,0.0,60000000.0,1890.1078573028624,1864.5600000000002,0.0,0.0,16.4,-1.1,11.0,0.0
100,0.0,0.0,1.7021276595744683,1.6,0.6382978723404256,0.6,11.914893617021276,11.2,-59999985.74468085,0.0,0.0,0.0,60000000.0,1890.0889562242664,1837.14,0.0,0.0,16.3,-1.2,11.0,0.0
